player_id,role,batting_style,bowling_style,image
01cb2e52,Batsman,Right Handed Bat,Right-arm fast,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/manny-martindale.jpg
01dbf7cf,WK-Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c171058/wriddhiman-saha.jpg
01dc3ec0,Bowling Allrounder,Left Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/patrick-botha.jpg
01f65cd3,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/neil-pratt.jpg
0207451a,Bowler,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/ellen-asante.jpg
020fa427,Batsman,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/dave-joseph.jpg
021d0f79,,,,
02223af0,,,,
0226b73a,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c244938/haider-ali.jpg
023f6b02,Bowler,Right Handed Bat,Left-arm orthodox,https://static.cricbuzz.com/a/img/v1/152x152/i1/c153406/nadeem-ahmed.jpg
024a173d,Bowling Allrounder,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/john-nyumbu.jpg
025e7fdf,Batsman,Right Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/vic-richardson.jpg
02789d88,Batsman,Right Handed Bat,Right-arm legbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c170903/sabbir-rahman.jpg
028b7f77,,,,
02923fc5,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/dimitri-mascarenhas.jpg
029c4618,Bowler,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c155644/andrew-fekete.jpg
02b25ee4,Batsman,Left Handed Bat,Right-arm legbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/shreyansh-ghosh.jpg
02ba80a0,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/jonathan-merlo.jpg
02bce9a8,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c165722/nick-larkin.jpg
02e83ac5,Bowling Allrounder,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c156219/naeem-islam.jpg
