date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2024-05-07,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,Gulbadin Naib,Delhi Capitals,19,15,1,1,0,0,0,0,0,0,0,0,22,0,0,22,YS Chahal,YBK Jaiswal,JC Buttler,SV Samson,R Parag,SB Dubey,R Powell,D Ferreira,R Ashwin,TA Boult,Avesh Khan
2024-05-14,"Arun Jaitley Stadium, Delhi",Indian Premier League,T20,20,Gulbadin Naib,Delhi Capitals,0,0,0,0,6,0,12,0,0,1,0,0,0,0,8,8,Mohsin Khan,Q de Kock,KL Rahul,MP Stoinis,DJ Hooda,N Pooran,A Badoni,KH Pandya,Arshad Khan,Yudhvir Singh,Ravi Bishnoi
