date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2019-04-21,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,Y Prithvi Raj,Kolkata Knight Riders,0,1,0,0,18,1,29,1,0,0,0,0,-2,33,0,31,DA Warner,JM Bairstow,KS Williamson,V Shankar,YK Pathan,DJ Hooda,Rashid Khan,B Kumar,S Nadeem,KK Ahmed,Sandeep Sharma
2019-04-25,Eden Gardens,Indian Premier League,T20,20,Y Prithvi Raj,Kolkata Knight Riders,0,0,0,0,12,0,28,0,0,0,0,0,0,-6,0,-6,AM Rahane,SV Samson,SPD Smith,BA Stokes,R Parag,STR Binny,S Gopal,JC Archer,JD Unadkat,VR Aaron,O Thomas
