date,venue,event,match_type,total_overs,player_name,team,runs_scored,balls_faced,boundaries,sixes,balls_bowled,wickets,runs_given,bowled_lbw,maidens,catches,stumpings,run_outs,batting_points,bowling_points,fielding_points,total_fantasy_points,player1,player2,player3,player4,player5,player6,player7,player8,player9,player10,player11
2018-05-11,Sawai Mansingh Stadium,Indian Premier League,T20,20,P Chopra,Rajasthan Royals,8,6,2,0,0,0,0,0,0,0,0,0,10,0,0,10,SR Watson,AT Rayudu,SK Raina,MS Dhoni,SW Billings,DJ Bravo,RA Jadeja,DJ Willey,Harbhajan Singh,SN Thakur,KV Sharma
2019-03-29,Rajiv Gandhi International Stadium,Indian Premier League,T20,20,P Chopra,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,AM Rahane,JC Buttler,SV Samson,BA Stokes,SPD Smith,RA Tripathi,K Gowtham,JC Archer,JD Unadkat,S Gopal,DS Kulkarni
2019-04-07,Sawai Mansingh Stadium,Indian Premier League,T20,20,P Chopra,Rajasthan Royals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CA Lynn,SP Narine,RV Uthappa,Shubman Gill,N Rana,KD Karthik,AD Russell,PP Chawla,Kuldeep Yadav,HF Gurney,M Prasidh Krishna
